Row_ID,Portfolio,Property_Address,Unit,LLC_Entity,Category,Due_Date,Health,Source_Status,Billed_Amount,Responsible,Notes,Status,Cleared_At,Source_Doc,Action_URL
JHU-LLC-001,JHU,Entity-level,,"Guilford GP, LLC",LLC Filing,04/15/2026,Reinstatement Required,Forfeited — SDAT,,"Dallas Basha
Partner – Business Operations
dallas@blakeworth.com
+1 (202) 375-0652","• Not in CSC Corp Tracker
• Forfeited on SDAT
• Reinstatement required
• Dept ID W23302540.",Reinstatement Required,7/14/2026,https://drive.google.com/file/d/1-IBku8aHHm7WZyjUX0HpCaSrua7ftXdm/view,
JHU-LLC-002,JHU,Entity-level,,"Woodrow Apartments, LLC",LLC Filing,04/15/2026,Good Standing,CSC portal — Active as of 07/12/2026,$0.00,"Dallas Basha
Partner – Business Operations
dallas@blakeworth.com
+1 (202) 375-0652","• CSC portal — Active as of 07/12/2026
• 2026 AR filed 06/23/2026
• Dept ID W25002825.",Filed 2026 — Current,7/14/2026,https://drive.google.com/file/d/1h0Ir9IBexVg9jAcQwcxgFSN7Wr0LN2zB/view,
JHU-LLC-003,JHU,Entity-level,,"Calvert St, LLC",LLC Filing,04/15/2026,Good Standing,CSC portal — Active as of 07/12/2026,$0.00,"Dallas Basha
Partner – Business Operations
dallas@blakeworth.com
+1 (202) 375-0652","• CSC portal — Active as of 07/12/2026
• Dept ID W22838031.",Filed 2026 — Current,7/14/2026,https://drive.google.com/file/d/1-IBku8aHHm7WZyjUX0HpCaSrua7ftXdm/view,
JHU-LLC-004,JHU,Entity-level,,"3119 N Calvert, LLC",LLC Filing,04/15/2026,Good Standing,CSC portal — Active as of 07/12/2026,$0.00,"Dallas Basha
Partner – Business Operations
dallas@blakeworth.com
+1 (202) 375-0652","• CSC portal — Active as of 07/12/2026
• 2025 AR filed 09/15/2025
• Dept ID W25002841.",Filed 2026 — Current,7/14/2026,https://drive.google.com/file/d/1uj_B5iYSOnuqgpmKeqKBhUzEPkUFMT_e/view,
JHU-LLC-005,JHU,Entity-level,,"University Pkwy, LLC",LLC Filing,04/15/2026,Good Standing,CSC portal — Active as of 07/12/2026,$0.00,"Dallas Basha
Partner – Business Operations
dallas@blakeworth.com
+1 (202) 375-0652","• CSC portal — Active as of 07/12/2026
• 2025 AR filed 09/15/2025
• Dept ID W24982449.",Filed 2026 — Current,7/14/2026,https://drive.google.com/file/d/1Ib74lz4DmsbHz6c_ieNZyXyZX4TdvKCO/view,
JHU-LLC-006,JHU,Entity-level,,"Woodrow GP, LLC",LLC Filing,04/15/2026,Good Standing,CSC portal — Active as of 07/12/2026,$0.00,"Dallas Basha
Partner – Business Operations
dallas@blakeworth.com
+1 (202) 375-0652","• CSC portal — Active as of 07/12/2026
• 2025 & 2026 ARs filed 04/22/2026
• Dept ID W25003013.",Filed 2026 — Current,7/14/2026,https://drive.google.com/file/d/1fDkbzHBvK5q-7rpfUukrarT1Kp4Fk5X0/view,
JHU-LLC-007,JHU,Entity-level,,"University GP, LLC",LLC Filing,04/15/2026,Good Standing,CSC portal — Active as of 07/12/2026,$0.00,"Dallas Basha
Partner – Business Operations
dallas@blakeworth.com
+1 (202) 375-0652","• CSC portal — Active as of 07/12/2026
• Dept ID W24982431.",Filed 2026 — Current,7/14/2026,https://drive.google.com/file/d/1-IBku8aHHm7WZyjUX0HpCaSrua7ftXdm/view,
JHU-LLC-008,JHU,Entity-level,,"Guilford Apartments, LLC",LLC Filing,04/15/2026,Good Standing,Active on SDAT — 2026 AR filed 06/23/2026,$0.00,"Dallas Basha
Partner – Business Operations
dallas@blakeworth.com
+1 (202) 375-0652","• Not in CSC Corp Tracker
• Active on SDAT
• 2026 AR filed 06/23/2026
• Dept ID W23150261.",Filed 2026 — Current,7/14/2026,https://drive.google.com/file/d/1u-34rDB2m993g5xjcGo7whQvplUI3_kf/view,
JHU-LLC-009,JHU,Entity-level,,"3106 N Calvert, LLC",LLC Filing,04/15/2026,Verify Status,Not in CSC — verify on SDAT,$300.00,"Dallas Basha
Partner – Business Operations
dallas@blakeworth.com
+1 (202) 375-0652","• Not in CSC Corp Tracker
• Status unverified
• Verify directly on SDAT
• Dept ID W22347819 (unconfirmed).",Filing Unconfirmed,7/14/2026,https://drive.google.com/file/d/1PGKu43x9erGRvoBtuWK2ZEr82jGrUlCK/view,
JHU-LLC-010,JHU,Entity-level,,"Soteira Partners, LLC",LLC Filing,04/15/2026,Filing Needed,Not in good standing — 2025 AR overdue (SDAT),$300.00,"Dallas Basha
Partner – Business Operations
dallas@blakeworth.com
+1 (202) 375-0652","• Not in CSC Corp Tracker
• Not in good standing per SDAT
• 2025 annual report overdue
• Dept ID W24687469.",Filing Required,7/14/2026,https://drive.google.com/file/d/1-IBku8aHHm7WZyjUX0HpCaSrua7ftXdm/view,
